% Twitter Data
@RELATION tweets

@ATTRIBUTE sentiment {pro_obama, pro_romney}
@ATTRIBUTE negative_words NUMERIC
@ATTRIBUTE mention_romney NUMERIC
@ATTRIBUTE positive_words NUMERIC
@ATTRIBUTE sentence_length NUMERIC
@ATTRIBUTE vader_polarity NUMERIC
@ATTRIBUTE mention_obama NUMERIC
@ATTRIBUTE O NUMERIC
@ATTRIBUTE V NUMERIC
@ATTRIBUTE D NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE N NUMERIC
@ATTRIBUTE "," NUMERIC
@ATTRIBUTE ^ NUMERIC
@ATTRIBUTE L NUMERIC
@ATTRIBUTE ~ NUMERIC
@ATTRIBUTE @ NUMERIC
@ATTRIBUTE U NUMERIC
@ATTRIBUTE $ NUMERIC
@ATTRIBUTE E NUMERIC
@ATTRIBUTE ! NUMERIC
@ATTRIBUTE & NUMERIC
@ATTRIBUTE R NUMERIC
@ATTRIBUTE # NUMERIC
@ATTRIBUTE G NUMERIC
@ATTRIBUTE T NUMERIC
@ATTRIBUTE M NUMERIC
@ATTRIBUTE X NUMERIC
@ATTRIBUTE S NUMERIC
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE Y NUMERIC

@DATA
pro_romney,0,0,0,95,0,0,0,1,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pro_romney,0,0,0,138,0,1,4,7,1,2,4,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
pro_romney,2,0,0,139,0,1,1,5,4,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pro_obama,0,0,0,103,0,0,0,0,4,2,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pro_romney,1,1,0,124,0,1,2,6,2,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,3,0,0,92,0,1,0,2,1,1,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pro_obama,1,1,0,49,0,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pro_obama,1,1,0,118,0,1,0,3,1,2,8,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,0,1,1,77,0,0,0,1,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
pro_obama,0,1,0,126,0,1,4,10,1,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pro_obama,1,1,0,128,0,0,3,6,2,0,5,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
pro_romney,1,1,0,111,0,1,2,3,1,2,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pro_romney,0,1,0,120,0,0,1,3,1,1,5,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0
pro_obama,1,0,0,88,0,1,2,3,0,1,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
pro_obama,1,1,0,135,0,0,1,5,1,2,4,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
pro_obama,0,1,1,110,0,1,0,4,1,2,3,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
pro_romney,1,0,0,37,0,1,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
